,TP,FN,FP,TN
5_o_Clock_Shadow,2610,1469,1763,33838
Arched_Eyebrows,5387,2827,5302,26164
Attractive,15544,2757,4681,16698
Bags_Under_Eyes,2592,2013,5482,29593
Bald,245,643,653,38139
Bangs,4879,767,1117,32917
Big_Lips,1581,1993,8025,28081
Big_Nose,4134,1992,5150,28404
Black_Hair,7304,1699,2211,28466
Blond_Hair,4876,874,1035,32895
Blurry,516,1032,1525,36607
Brown_Hair,4331,1812,3774,29763
Bushy_Eyebrows,2205,1430,3503,32542
Chubby,733,1079,1587,36281
Double_Chin,639,981,1180,36880
Eyeglasses,2436,114,168,36962
Goatee,1775,990,759,36156
Gray_Hair,1040,747,633,37260
Heavy_Makeup,13982,1887,1320,22491
High_Cheekbones,14480,1534,3585,20081
Male,16110,284,380,22906
Mouth_Slightly_Open,17167,654,2131,19728
Mustache,450,921,1165,37144
Narrow_Eyes,455,2150,4160,32915
No_Beard,31649,505,1482,6044
Oval_Face,2273,1802,9003,26602
Pale_Skin,217,1449,1504,36510
Pointy_Nose,1767,1890,9303,26720
Receding_Hairline,721,1161,2460,35338
Rosy_Cheeks,881,1235,1755,35809
Sideburns,1534,920,707,36519
Smiling,16761,749,2442,19728
Straight_Hair,2807,1867,5486,29520
Wavy_Hair,8815,1932,3953,24980
Wearing_Earrings,4196,1734,3396,30354
Wearing_Hat,1561,282,312,37525
Wearing_Lipstick,17498,1411,1238,19533
Wearing_Necklace,656,2213,4228,32583
Wearing_Necktie,1554,1029,1301,35796
Young,27703,2146,3006,6825
