,TP,FN,FP,TN,precision,recall,TPR,FPR,F1
5_o_Clock_Shadow,1137,1035,2174,15494,0.34340078515753525,0.06836630388621452,0.06836630388621452,0.6774696164919073,0.1140304120572603
Arched_Eyebrows,4409,952,4325,10154,0.5048087931640933,0.30275355350526995,0.30275355350526995,0.8195944663976512,0.3785032012695088
Attractive,8945,1186,4514,5195,0.6646110408897681,0.6326025459241441,0.6326025459241441,0.7919298244224684,0.6482113919930425
Bags_Under_Eyes,2232,1806,3459,12343,0.3921982076274471,0.153138936524656,0.153138936524656,0.6569800568552744,0.2202699996946907
Bald,0,439,0,19401,0.0,0.0,0.0,0.0,0.0
Bangs,26,2986,0,16828,0.9999999615384629,0.0015426604959331517,0.0015426604959331517,0.0,0.0030805656441933353
Big_Lips,1882,2948,3411,11599,0.3555639523227727,0.13960388694165093,0.13960388694165093,0.5364050950563917,0.2004896345025775
Big_Nose,3028,1577,3444,11791,0.4678615574060782,0.20433227611820418,0.20433227611820418,0.6859191394770127,0.28443901132583865
Black_Hair,3692,1065,2298,12785,0.6163606008987712,0.22406991562638406,0.22406991562638406,0.6833184654524774,0.32865942107891255
Blond_Hair,2405,563,1121,15751,0.6820760066131378,0.13246309759129415,0.13246309759129415,0.6656769592246573,0.2218427310388155
Blurry,0,1012,0,18828,0.0,0.0,0.0,0.0,0.0
Brown_Hair,614,3476,368,15382,0.6252545818480096,0.03838459614663762,0.03838459614663762,0.09573361079715567,0.07232878722199428
Bushy_Eyebrows,500,2322,409,16609,0.550055004895429,0.02922438482499127,0.02922438482499127,0.14976199188950495,0.05549995968527367
Chubby,0,1133,0,18707,0.0,0.0,0.0,0.0,0.0
Double_Chin,0,921,0,18919,0.0,0.0,0.0,0.0,0.0
Eyeglasses,0,1301,0,18539,0.0,0.0,0.0,0.0,0.0
Goatee,0,1255,0,18585,0.0,0.0,0.0,0.0,0.0
Gray_Hair,0,801,0,19039,0.0,0.0,0.0,0.0,0.0
Heavy_Makeup,7439,186,2449,9766,0.7523260517038505,0.4323743097685339,0.4323743097685339,0.9294117643531644,0.549145072175932
High_Cheekbones,8064,992,3832,6952,0.677874915881147,0.5370271709818176,0.5370271709818176,0.7943615255401406,0.5992860702908916
Male,7992,228,870,10750,0.9018280296883516,0.42642194000499295,0.42642194000499295,0.7923497260543262,0.579046079009257
Mouth_Slightly_Open,9076,595,6449,3720,0.5846054750026018,0.7092841512418502,0.7092841512418502,0.9155309481948423,0.6409373245899379
Mustache,0,795,0,19045,0.0,0.0,0.0,0.0,0.0
Narrow_Eyes,0,2288,0,17552,0.0,0.0,0.0,0.0,0.0
No_Beard,16573,0,3267,0,0.8353326612482191,0.9999999999396608,0.9999999999396608,0.9999999996939088,0.9102787998310509
Oval_Face,2524,3125,3329,10862,0.4312318468424343,0.18855520691853017,0.18855520691853017,0.5158041523836684,0.26238327640498404
Pale_Skin,0,857,0,18983,0.0,0.0,0.0,0.0,0.0
Pointy_Nose,3662,1836,5295,9047,0.4088422462421746,0.28814226136689414,0.28814226136689414,0.7425326040187165,0.3380406854617588
Receding_Hairline,0,1600,0,18240,0.0,0.0,0.0,0.0,0.0
Rosy_Cheeks,86,1230,39,18485,0.687999994496,0.004630876096891343,0.004630876096891343,0.03073286049587639,0.009199815556987454
Sideburns,0,1121,0,18719,0.0,0.0,0.0,0.0,0.0
Smiling,9166,487,4423,5764,0.6745161527209863,0.6139316811377139,0.6139316811377139,0.9008146637676548,0.6427990382114805
Straight_Hair,44,3991,33,15772,0.5714285640074213,0.0027819929183875826,0.0027819929183875826,0.008200795226590259,0.005537019237104733
Wavy_Hair,5078,1314,5135,8313,0.4972094389016734,0.3792099170801874,0.3792099170801874,0.7962474801060245,0.4302655656284013
Wearing_Earrings,2239,1537,2673,13391,0.4558224754772348,0.1432501599396513,0.1432501599396513,0.6349168644572644,0.21799204189903215
Wearing_Hat,0,959,0,18881,0.0,0.0,0.0,0.0,0.0
Wearing_Lipstick,9169,235,1478,8958,0.8611815534083609,0.5058200474151365,0.5058200474151365,0.8628137764957303,0.6373109954811295
Wearing_Necklace,43,2374,143,17280,0.23118279445600648,0.0024822490329341196,0.0024822490329341196,0.05681366704139306,0.004911738645470666
Wearing_Necktie,155,1264,85,18336,0.6458333306423611,0.008382456329653213,0.008382456329653213,0.06300963672126787,0.01655007880614246
Young,15370,0,4470,0,0.774697580606114,0.9999999999349382,0.9999999999349382,0.9999999997762863,0.8730469377166333
